sentimen,tweet,clean_tweet
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",kata indonesia dihargai bangsa asing berita ðÿ hoaks buatan penguasa kan ðÿ œ â
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",batuan langka tasbih jokowi hadiah habib luthfi seharga mercy
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",era jokowi ekonomi indonesia semakin baik 01indonesiamaju jokowilagi jokowimenangtotaldebat pic twitter com w2ythnxstp
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",sumatra selatan asian games berdampak ekonomi langsung diprediksi mencapai 18 5 triliun indonesia maju jokowi hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",negara berutang buat bangun infrastruktur sudah dipakai masyarakat terus masyarakatnya mengeluh negara berutang negara pasti berutang utang dibayar kalau negara penghasilan penghasilan negara ya pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",bisikin pak jokowi cuma memikirkan perputaran duit golongan tertentu e sports sebagian kecil sekian besar penentu pertumbuhan perekonomian indonesia bukan fundamental betul dikatakan prabowo dengan bahas sederhana mrpkan aspek fundamental ekonomi
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,masa tenang mengoceh tetap jokowi harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",uasdifitnahkejibalasditps kerjasa ekonomi bilateral multilateral doakan tempat pemungutan suara dengarkan suara hati uasdifitnahkejibalasditps
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",iya benar aa mantap kan pilihan pemimpin memberi solusi bukan menyalahkan pemimpin sebelumnya dismash sama mas bowo percuma koalisi kalau mengantam teman koalisi ðÿ pulang penting pilih pemimpin rajin ibadah wajib bisa mengaji jumatanðÿ trade_mark ðÿ
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,prabowo sandi sepakat tak ambil gaji negara sedang susah â goaceh
positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Pilih pemimpin itu yg udh jelas banyak pencapaiannya. Nah, ini dia 5 pencapaian ekonomi selama pemerintahan Jokowi. Coblos 01 Yuk Kerja Pasti !   https://bit.ly/2OgymxtÂ ",pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin yang jelas banyak pencapaiannya nah dia 5 pencapaian ekonomi selama pemerintahan jokowi coblos 01 yuk kerja
positif,"Calon presiden Jokowi menjelaskan program Kartu Pra Kerja akan memberikan insentif dalam kurun waktu tertentu, bukan berarti memberikan gaji secara cuma-cuma bagi masyarakat yang belum berpenghasilan. #2019JokowiKyaiMaruf pic.twitter.com/Nj2hhmiIzv",calon presiden jokowi menjelaskan program kartu pra kerja memberikan insentif kurun waktu tertentu bukan berarti memberikan gaji cuma cuma masyarakat belum berpenghasilan 2019jokowikyaimaruf pic twitter com nj2hhmiizv
negatif,"Gak nginti Lu to @yunartowijaya, dan si @AT_AbdillahToha juga gak ngacaaa,, Gak usah ngajarin Sandi soal ekonomi dibanding Jokowi.",nginti kamu to sih ngacaa tidak usah mengajarkan sandi soal ekonomi dibanding jokowi
positif,"Menurut Jokowi, pemerintah selalu berupaya menjaga keseimbangan agar harga pada posisi normal. Petani sebagai produsen senang karena hasil kerjanya dihargai secara layak. #2019JokowiKyaiMaruf #RakyatInginJokowiMenang  https://twitter.com/tag_nusantara/status/1061792783114022912/photo/1 pic.twitter.com/YZpyj7IhSoÂ ",jokowi pemerintah selalu berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak 2019jokowikyaimaruf rakyatinginjokowimenang pic twitter com yzpyj7ihsoâ
netral,"Terlalu berat nge bahas ekonomi dgn angka2.. Cukup bahas mobil lejen aj,",terlalu berat nge bahas ekonomi angka2 cukup bahas mobil legend aj
netral,"mantulz sekali pak..mengisi masa tenang dg umroh bersama kel tercinta, istri, anak2... pada ahirnya memang  keluarga lah asset plg berharga, sehat sll pakdeee...ðŸ‘ðŸ‘ðŸ‘",mantulz sekali pak mengisi masa tenang umrah bersama keluarga tercinta istri anak anak akhirnya memang keluarga lah aset pulang berharga sehat selalu pakdee ðÿ ðÿ ðÿ
positif,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Pentingnya sisi industri kreatif dan inovatif di era industri global. Membuat jokowi tergerak untuk mengubah Badan Ekonomi Kreatif (Bekraf) menjadi sebuah kementerian . Coblos 01 Yuk Kerja Pasti !  pic.twitter.com/4VPqiGzAcq,pilihorangbaik pilihjelasislamnya pilihbajuputih pentingnya sisi industri kreatif inovatif era industri global membuat jokowi tergerak mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian coblos 01 yuk kerja pic twitter com 4vpqigzacq
positif,"dalam 16 pakta integritas antara Prabowo sandi dan Ulama yg terlibat dalam ijtimak ulama sudah sangat jelas bahwa Pancasila dan NKRI itu adalah harga mati, tidak ada itu khilafah, khilafah hanyalah bualan para makhluk di kolam #UASdifitnahKejiDanBrutal #UASdifitnahKejiBalasDiTPS",16 pakta integritas prabowo sandi ulama terlibat ijtimak ulama sangat jelas pancasila negara kesatuan republik indonesia adalah harga mati ada khilafah khilafah hanyalah bualan makhluk kolam uasdifitnahkejidanbrutal uasdifitnahkejibalasditps
netral,"Saya dengar pak, Mbak Vidya, dari Curup. Dulu beli lipstik Purbasari harga 25 ribu. Tapi sekarang beli lipstik NYX gak cukup 25 ribu ðŸ˜­",dengar pak mbak vidya curup dulu beli lipstik purbasari harga 25 ribu sekarang beli lipstik nyx cukup 25 ribu ðÿ
positif,Prabowo Sejak jadi TNI puluhan tahun nggak dia ambil gajinya serupiah pun. Sandi sejak jadi Wagub jg demikian . Susah ya cari orang seperti mereka?? Yang gak ambil gaji dari hasil mereka kerja untuk negara!!  pic.twitter.com/UX372NjZnW,prabowo sejak jadi tentara nasional indonesia puluhan tahun enggak ambil gajinya serupiah sandi sejak jadi wakil gubernur demikian susah cari orang tidak ambil gaji hasil mereka kerja negara pic twitter com ux372njznw
netral,Assalamu'alaikum.  Saya tahu 1 suara itu sgt berharga dlm upaya memenangkan 02 @prabowo & @sandiuno saya hrs merelakan suara dikarenakan berada di Jkt namun KTP daerah. Semoga suara saya yg tdk disertakan bisa terbalaskan dgn doa. Semoga Allah SWT mengabulkan itu. Aamiin ya Rabb https://twitter.com/sandiuno/status/1117101696696455173Â â€¦,assalamu alaikum tahu 1 suara sangat berharga upaya memenangkan 02 harus merelakan suara dikarenakan berada jakarta kartu tanda penduduk daerah semoga suara yang disertakan terbalaskan doa semoga allah subhanahu wa taala mengabulkan amin rabi â
negatif,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  -  Kita tahu mereka orang-orang yang superkaya, mbok ya rendah hatilah jangan menyatakan kata2 berkonotasi angkuh !!  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji?utm_content=detikcom&utm_term=echobox&utm_medium=oa&utm_campaign=detikcomsocmed&utm_source=Twitter#Echobox=1555171378Â â€¦",terpilih prabowo sandiaga janji tak ambil gaji tahu orang orang superkaya mbok rendah hatilah jangan menyatakan kata kata berkonotasi angkuh â
negatif,@prabowo apa bapak  gak menghargai relawan yg puasa dan tirakatan munajad semalam suntuk berdoa untuk kemenangan 02 ? Mhn dibalas tweet dan kontribusi ngopi rokok dll mereka yg  tirakat/mujahadah .Jika tdk maka 02 akan gagal.Ayo semua  tirakat/ munajad.In,apa bapak menghargai relawan puasa tirakatan munajad semalam suntuk berdoa kemenangan 02 mhn dibalas twit kontribusi minum kopi rokok lain mereka tirakat mujahadah tidak 02 gagal ayo semua tirakat munajad in
positif,Prabowo sandi menang otomatis kita ikut bersedekah bagi kaum farkir miskin dan dhuafa melalui gaji mereka berfua yg tidak akan diambil dan akan disedekahkan  #17AprilTusukPrabowoSandi,prabowo sandi menang otomatis ikut bersedekah kaum farkir miskin dhuafa melalui gaji berfua tidak diambil akan disedekahkan 17apriltusukprabowosandi
