sentimen,tweet_bersih
negatif,indonesia tidak dihargai bangsa asing berita hoax buatan penguasa ya
netral,batuan langka jokowi hadiah habib luthfi seharga mercy
netral,era jokowi ekonomi indonesia baik pictwittercomwythnxstp
positif,sumatera selatan asian games berdampak percaya ekonomi langsung diprediksi mencapai triliun indonesia maju jokowi hebat
negatif,negara ngutang bingung infrastruktur dipakai masyarakat terus masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar kalo negara penghasilan penghasilan negara ya pajak
netral,bikin jokowi memikirkan perputaran duit golongan sport sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo dgn bahasa sederhana aspek fundamental ekonomi
positif,tenang msih mengoceh ajattp jokowi harga mati
positif,kerjasama ekonomi bilateral multilateral doakan tps dengarkan suara hati
netral,iya mantap pilihan pemimpin solusi bukan menyalahkan pemimpin dimas mas bowo koalisi menghantam tmn koalisi plg pilih pemimpin rajin ibadah wajib mengaji jumatan
negatif,prabowosandi sepakat ambil gaji negara susah
positif,pilih pemimpin udh pencapaiannya pencapaian ekonomi pemerintahan jokowi coblos yuk kerja
positif,calon presiden jokowi program kartu pra kerja insentif kurun bukan gaji cumacuma masyarakat belum berpenghasilan pictwittercomnjhhmiizv
negatif,lu sih mengaca mengajari sandi ekonomi dibanding jokowi
positif,jokowi pemerintah berupaya menjaga keseimbangan harga posisi normal petani produsen senang hasil kerjanya dihargai layak pictwittercomyzpyjihso
netral,berat nge bahas ekonomi dgn angka bahas mobil lejen
netral,mantul pakmengisi tenang umroh kel tercinta istri anak keluarga asset plg berharga sehat pakde
positif,sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif berat kementerian coblos yuk kerja pictwittercomvpqigzacq
positif,pakta integritas prabowo sandi ulama terlibat ijtima ulama pancasila nkri harga mati tidak khilafah khilafah berjualan makhluk kolam
netral,dengar mbak videonya beli listrik purbasari harga ribu beli listrik yq ribu
positif,prabowo tni puluhan ambil gajinya rupiah sandi wagub susah ya cari orang ambil gaji hasil kerja negara pictwittercomuxnjznw
netral,assalamualaikum suara sgt berharga dlm upaya memenangkan hrs merelakan suara jkt ktp daerah semoga suara tdk disediakan terbalaskan dgn doa semoga allah swt mengabulkan aamiin ya rabbani
negatif,terpilih prabowosandiaga janji ambil gaji orangorang superkaya mbok ya rendah istilah jangan berkonotasi angkuh
negatif,menghargai relawan puasa tingkatan muhamad semalam suntuk berdoa kemenangan mohon dibalas tweet kontribusi ngopi rokok dll tirakatmujahadah tdk gagalnya tingkat munajadin
positif,prabowo sandi menang otomatis bersedekah kaum parkir miskin dhuafa gaji tidak diambil disedekahkan
positif,kepercayaan percaya mrk berpengalaman memiliki wakil berpengalaman dibidang ekonomi coblos yuk ya
negatif,ummat islam waras cerdas senang beramalcoblos prabowo andil dlm gaji beliau tdk diambil amal
positif,keberhasilan tidak dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia coblos yuk ya
negatif,model ngeles petruk ketar berbusa didepan sandi mengomongkan ekonomi makaroni congkaknya untung sandi nya sabar kick pantesan menterinya pintar bodong jualannya kyk gini perokok nya
